,label,content
0,false,Says the Annies List political group supports third-trimester abortions on demand.
1,half-true,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.
2,mostly-true,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran."""
3,false,Health care reform legislation is likely to mandate free sex change surgeries.
4,half-true,The economic turnaround started at the end of my term.
5,true,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.
6,barely-true,Jim Dunnam has not lived in the district he represents for years now.
7,half-true,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate."
8,half-true,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific."
9,mostly-true,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.
10,mostly-true,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin."
11,half-true,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty."
12,false,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it."
13,mostly-true,The economy bled $24 billion due to the government shutdown.
14,barely-true,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.
15,half-true,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote."
16,true,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' 
17,barely-true,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out"
18,half-true,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner."
19,mostly-true,"Almost 100,000 people left Puerto Rico last year."
20,false,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.
21,mostly-true,The United States has the highest corporate tax rate in the free world.
22,mostly-true,We just had the best year for the auto industry in America in history.
23,half-true,"Says Scott Walker favors cutting up to 350,000 families and children off health care."
24,barely-true,Says Mitt Romney wants to get rid of Planned Parenthood.
25,false,I dont know who (Jonathan Gruber) is.
26,mostly-true,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.
27,half-true,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.
28,false,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn."
29,mostly-true,Youth unemployment in minority communities is about 40 to 45 percent.
30,true,Says Paul Ryan is still endorsing Trump.
31,barely-true,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates."
32,false,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.
33,mostly-true,We cut business taxes so today 70 percent of our businesses dont pay a business tax.
34,mostly-true,Says Mark Pryor votes with Obama 93 percent of the time.
35,true,We have a federal government that thinks they have the authority to regulate our toilet seats.
36,true,Austin is a city that has basically doubled in size every 25 years or so since it was founded.
37,true,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests."
38,pants-fire,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct."
39,true,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt."
40,false,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.
41,half-true,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.
42,pants-fire,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company"
43,pants-fire,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.
44,false,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' 
45,half-true,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.
46,pants-fire,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally."
47,false,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.
48,pants-fire,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.
49,true,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.
50,barely-true,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country
51,barely-true,"Maggie Hassan raised tuition, making it the highest in America."
52,false,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.
53,true,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history"
54,barely-true,"We have towns in West Texas that are out of water, that are having to truck in water."
55,half-true,"In Georgia, women earn 82 cents for every dollar earned by men."
